#date	id	ledger	title	who
2026-07-31	PLT-002	platform	Choose taskman tooling language and location
2026-07-31	PLT-003	platform	Build tm executable: add, go, done
2026-07-31	PLT-006	platform	Prevent next_id collisions across branches
2026-07-31	PLT-004	platform	Build find skill and history.tsv auto-search
2026-07-31	PLT-001	platform	Enforce record lifecycle via git hooks
2026-07-31	PLT-tf3z	platform	Reset task records when adopting the skeleton
2026-07-31	PLT-5pk8	platform	Add tasks from Telegram
2026-07-31	PLT-005	platform	Notify team Telegram bot from done
2026-07-31	PLT-2fyj	platform	Make Telegram notification-only
2026-07-31	PLT-h49x	platform	Drop the Telegram drain in favour of BotFather description
2026-07-31	PLT-us7k	platform	Put the agent-is-the-interface concept in the README
2026-07-31	PLT-uhhk	platform	Make the notifier swappable
2026-07-31	PLT-jcv5	platform	check --notify should not send unless asked
2026-07-31	PLT-rc4c	platform	Add a tm command to return a task from doing to open
2026-07-31	PLT-n4zk	platform	Record assignees on tasks	stewart
2026-07-31	PLT-pztu	platform	Cap task titles and allow folder sidecars	stewart
2026-08-01	PLT-c6ab	platform	Co-locate the notes ontology and decide if notes needs tooling	stewart
2026-08-01	PLT-9wmv	platform	Add tm standup with a configurable period	stewart
2026-08-01	PLT-8ush	platform	Schedule the standup by cron instead of nudging at commit	stewart
